permno,date,ret,dlret,shrout,prc,vol,exchcd,ret_adj
76743,1993-06-30,-0.20339,,6041.0,11.75,2003.0,3,-0.2033899999999999
29720,1975-08-29,,,825.0,,,3,0.0
53946,1999-02-26,-0.019231,,2500.0,6.375,39.0,2,-0.0192309999999999
91702,2009-09-30,0.013139,,17400.0,103.5,46985.0,3,0.013139
79786,1998-09-30,0.216216,,7386.0,2.8125,317.0,2,0.2162159999999999
14599,2015-11-30,0.059857,,5065.0,29.51,1073.0,3,0.059857
12854,1985-04-30,-0.051282,,6852.0,-1.15625,2218.0,3,-0.051282
79211,1997-01-31,-0.061111,,7637.0,21.125,6026.0,1,-0.061111
33582,1982-07-30,0.147059,,4363.0,9.75,686.0,2,0.147059
53794,1972-10-31,-0.057851,,960.0,14.25,72.0,2,-0.0578509999999999
80422,2002-08-30,0.081207,,65700.0,46.6,116483.0,1,0.081207
75923,1993-07-30,0.35,,5614.0,-3.375,1618.0,3,0.3500000000000001
75215,2002-12-31,0.054264,,24416.0,9.52,12522.0,1,0.054264
29744,2016-01-29,,,9560.0,,,3,0.0
83520,2013-06-28,0.120792,,22305.0,11.25,28595.0,3,0.120792
26307,1958-06-30,0.08209,,1293.0,36.25,113.0,1,0.08209
75534,1987-10-30,-0.222222,,36250.0,-0.10938,19178.0,3,-0.222222
16069,2020-09-30,0.03876,,17267.0,1.34,14362.0,3,0.0387599999999999
19802,1999-05-28,0.173077,,2741.0,-1.90625,325.0,3,0.1730769999999999
10109,1990-04-30,-0.035971,,1668.0,16.75,1224.0,3,-0.0359709999999999
79536,2003-06-30,0.315789,,50951.0,0.25,963436.0,3,0.3157890000000001
43852,1977-08-31,-0.014286,,2669.0,8.625,493.0,2,-0.014286
33478,1966-11-30,0.015625,,926.0,8.125,101.0,3,0.015625
89425,2005-07-29,0.037766,,16702.0,19.35,2972.0,3,0.0377659999999999
12488,2018-11-30,-0.04359,,3560.0,3.73,14142.0,3,-0.04359
25726,1982-07-30,-0.007353,,17341.0,16.875,3565.0,1,-0.007353
20328,1985-07-31,0.116667,,703.0,-4.1875,390.0,3,0.116667
90110,2007-05-31,-0.017509,,156624.0,39.84,197349.0,1,-0.0175089999999999
88791,2005-04-29,-0.174757,,43797.0,0.85,164773.0,3,-0.174757
90458,2016-03-31,0.048509,,48195.0,61.75,87199.0,3,0.0485089999999999
93188,2018-03-29,0.511471,,47081.0,11.2,59149.0,3,0.511471
63220,1975-03-31,0.157895,,1749.0,-5.5,,1,0.1578949999999999
86067,2000-12-29,0.026471,,3044.0,-10.90625,441.0,1,0.0264709999999999
85917,2012-10-31,0.013854,,11254.0,17.7,4369.0,1,0.013854
91298,2016-07-29,0.074875,,42250.0,77.52,73742.0,4,0.074875
26535,2006-01-31,-0.010669,,28567.0,20.4,10709.0,3,-0.010669
77292,2014-10-31,0.141901,,160276.0,8.53,686467.0,3,0.141901
69607,1982-09-30,0.217617,,18549.0,-14.6875,,1,0.2176169999999999
41742,1966-06-30,0.118812,,985.0,14.0,369.0,2,0.1188119999999999
15828,1998-07-31,0.106383,,3995.0,9.75,13864.0,3,0.1063830000000001
58704,1996-05-31,0.109091,,12115.0,7.625,6117.0,1,0.109091
11922,1957-07-31,-0.040189,,4000.0,50.75,217.0,1,-0.040189
76572,2009-06-30,-0.012363,,16162.0,11.68,5595.0,1,-0.012363
86880,1987-11-30,-0.36,,10431.0,2.0,6873.0,3,-0.36
43983,1986-03-31,0.125,,6649.0,32.375,5984.0,1,0.125
75578,2014-07-31,-0.051429,,64273.0,9.96,37033.0,3,-0.0514289999999999
10674,1986-08-29,,,,,,3,0.0
79862,2016-04-29,-0.075175,,31327.0,26.45,33373.0,3,-0.0751749999999999
46463,1978-04-28,0.2,,14283.0,1.125,13398.0,1,0.1999999999999999
75596,2001-11-30,0.050867,,22532.0,9.09,5574.0,3,0.0508669999999999
82242,2008-06-30,-0.095238,,15794.0,0.95,2905.0,2,-0.095238
84545,1999-02-26,-0.142857,,13498.0,1.5,1869.0,3,-0.142857
10207,2009-02-27,-0.113895,,18938.0,3.89,5759.0,3,-0.1138949999999999
14250,1960-07-29,-0.073771,,2716.0,28.25,223.0,1,-0.073771
18738,1981-09-30,-0.28866,,4400.0,-8.625,,3,-0.28866
77309,2005-01-31,0.012259,,11557.0,13.59,2519.0,1,0.012259
56565,2020-07-31,-0.00744,,20262.0,13.1,4745.0,1,-0.00744
56048,1984-09-28,0.008197,,2023.0,-30.75,8.0,3,0.008197
41929,2002-10-31,0.025486,,49246.0,32.19,92575.0,1,0.0254859999999998
83520,2008-12-31,0.152514,,27521.0,20.63,61905.0,3,0.152514
41021,1982-03-31,-0.231884,,4187.0,-3.3125,,3,-0.2318839999999999
86587,1999-02-26,-0.224719,,4701.0,8.625,15147.0,3,-0.224719
93105,2001-03-30,-0.003509,,41502.0,11.8125,5934.0,1,-0.0035089999999999
12729,2012-07-31,0.007985,,600.0,18.0901,667.0,3,0.0079849999999999
43618,1996-05-31,0.315789,,16499.0,6.25,7610.0,3,0.3157890000000001
54798,1999-12-31,-0.063726,,14939.0,11.9375,15516.0,3,-0.0637259999999999
80710,1989-01-31,-0.034483,,3135.0,-1.75,116.0,3,-0.034483
88854,2006-03-31,0.023466,,7000.0,65.86,10843.0,4,0.0234659999999999
10594,1996-08-30,0.060606,,98861.0,13.125,55086.0,1,0.0606059999999999
91308,2017-01-31,0.102764,,9850.0,94.97,161914.0,4,0.102764
10319,1986-10-31,-0.029851,,1050.0,-16.25,247.0,3,-0.0298509999999999
61348,1976-01-30,0.0,,557.0,-22.5,,1,0.0
92966,2010-05-28,-0.110591,,3343.0,15.2,4317.0,3,-0.110591
30517,1964-09-30,0.1875,,2504.0,2.375,1444.0,3,0.1875
61444,1988-10-31,0.019608,,3001.0,-13.0,115.0,2,0.019608
85234,2004-01-30,-0.014221,,35034.0,28.42,28032.0,1,-0.014221
75367,2003-02-28,0.008807,,91437.0,5.45,24547.0,1,0.008807
11153,2016-07-29,,,3754.0,,,3,0.0
71678,1973-09-28,0.045455,,10719.0,-17.25,,3,0.045455
80036,1994-10-31,-0.11284,,24799.0,14.25,7607.0,3,-0.11284
15074,2016-12-30,0.361963,,26335.0,22.2,65902.0,3,0.361963
77382,1994-06-30,-0.05,,13975.0,9.5,2257.0,1,-0.05
51610,1988-11-30,-0.063291,,7204.0,18.5,568.0,1,-0.0632909999999999
78938,2000-04-28,-0.003439,,17037.0,7.8125,3515.0,1,-0.0034389999999999
51610,1978-05-31,-0.029197,,763.0,-33.25,,1,-0.029197
10414,1990-10-31,-0.03125,,5477.0,7.75,766.0,3,-0.03125
81104,1984-11-30,-0.076923,,1636.0,-0.375,1677.0,3,-0.0769229999999999
90174,2000-09-29,-0.35,,15198.0,2.4375,69455.0,3,-0.35
91709,2020-11-30,0.170843,,5800.0,10.28,18331.0,4,0.170843
31720,1976-03-31,-0.060606,,1966.0,7.75,747.0,1,-0.060606
76274,2007-11-30,-0.4082,,25935.0,3.32,2331.0,1,-0.4082
92359,2014-02-28,0.013195,,3300.0,22.95,2665.0,4,0.013195
82512,2001-10-31,-0.018462,,5261.0,15.95,210.0,3,-0.0184619999999999
83736,1999-05-28,-0.25641,,20390.0,1.8125,25605.0,2,-0.25641
14219,2002-01-31,-0.01937,,24197.0,4.05,7706.0,3,-0.01937
73860,1978-04-28,0.043011,,839.0,-6.0625,,3,0.0430109999999999
27887,1980-11-28,-0.026042,,34596.0,46.75,17207.0,1,-0.026042
40011,1975-09-30,-0.035088,,1957.0,-13.75,,3,-0.035088
82697,2004-07-30,-0.044737,,44636.0,25.41,100954.0,3,-0.044737
12974,2018-11-30,0.038141,,17550.0,14.86,19321.0,1,0.0381409999999999
83621,1997-12-31,-0.079365,,16290.0,7.25,7763.0,3,-0.079365
12888,1960-03-31,0.034259,,7774.0,27.625,798.0,1,0.034259
59345,1978-09-29,0.010929,,4729.0,-22.875,,1,0.0109289999999999
29073,1963-08-30,-0.107843,,254.0,11.25,44.0,2,-0.107843
32926,1964-01-31,0.129032,,1594.0,-4.375,544.0,2,0.129032
75616,2003-02-28,0.028655,,6026.0,17.48,743.0,3,0.028655
14605,1958-04-30,0.138075,,1584.0,34.0,147.0,1,0.1380749999999999
78481,1996-12-31,-0.1,,23457.0,1.96875,5695.0,3,-0.0999999999999999
67264,1991-11-29,0.0,,5976.0,2.25,771.0,1,0.0
11761,1990-01-31,-0.019608,,23419.0,6.25,13300.0,1,-0.0196079999999999
63503,1985-04-30,0.056115,,6273.0,17.875,1100.0,1,0.0561149999999999
12413,2014-08-29,0.022727,,141045.0,1.35,428801.0,3,0.0227269999999999
