caldt,t30ret
1966-08-31,0.004119
1966-09-30,0.003890
1966-10-31,0.004389
1966-11-30,0.003932
1966-12-30,0.003630
1967-01-31,0.003927
1967-02-28,0.003743
1967-03-31,0.003693
1967-04-28,0.003344
1967-05-31,0.003126
1967-06-30,0.002674
1967-07-31,0.003153
1967-08-31,0.003240
1967-09-29,0.003177
1967-10-31,0.003649
1967-11-30,0.003416
1967-12-29,0.003565
1968-01-31,0.003934
1968-02-29,0.003849
1968-03-29,0.003977
1968-04-30,0.004263
1968-05-31,0.004672
1968-06-28,0.004436
1968-07-31,0.004790
1968-08-30,0.004476
1968-09-30,0.004203
1968-10-31,0.004394
1968-11-29,0.004457
1968-12-31,0.004249
1969-01-31,0.005025
1969-02-28,0.004619
1969-03-28,0.004802
1969-04-30,0.004859
1969-05-29,0.005215
1969-06-30,0.005137
1969-07-31,0.005520
1969-08-29,0.005890
1969-09-30,0.005856
1969-10-31,0.005724
1969-11-28,0.005509
1969-12-31,0.005846
1970-01-30,0.005781
1970-02-27,0.006167
1970-03-31,0.005542
1970-04-30,0.005286
1970-05-29,0.005546
1970-06-30,0.005546
1970-07-31,0.004886
1970-08-31,0.005020
1970-09-30,0.005034
1970-10-30,0.004954
1970-11-30,0.004489
1970-12-31,0.003786
1971-01-29,0.003777
1971-02-26,0.003344
1971-03-31,0.002924
1971-04-30,0.002804
1971-05-28,0.003127
1971-06-30,0.003505
1971-07-30,0.004272
1971-08-31,0.004446
1971-09-30,0.003630
1971-10-29,0.003855
1971-11-30,0.003506
1971-12-31,0.003152
1972-01-31,0.002850
1972-02-29,0.002659
1972-03-30,0.002590
1972-04-28,0.002962
1972-05-31,0.002942
1972-06-30,0.002800
1972-07-31,0.003084
1972-08-31,0.002988
1972-09-29,0.003546
1972-10-31,0.003891
1972-11-30,0.003739
1972-12-29,0.004185
1973-01-31,0.004410
1973-02-28,0.004277
1973-03-30,0.004750
1973-04-30,0.005002
1973-05-31,0.005098
1973-06-29,0.005379
1973-07-31,0.006540
1973-08-31,0.006855
1973-09-28,0.006749
1973-10-31,0.006856
1973-11-30,0.005529
1973-12-31,0.006961
1974-01-31,0.006274
1974-02-28,0.005819
1974-03-29,0.005677
1974-04-30,0.007949
1974-05-31,0.007235
1974-06-28,0.006892
1974-07-31,0.006756
1974-08-30,0.005940
1974-09-30,0.007997
1974-10-31,0.005254
1974-11-29,0.005139
1974-12-31,0.007009
1975-01-31,0.005387
1975-02-28,0.004326
1975-03-31,0.004014
1975-04-30,0.004489
1975-05-30,0.004869
1975-06-30,0.004133
1975-07-31,0.004811
1975-08-29,0.004815
1975-09-30,0.005575
1975-10-31,0.005185
1975-11-28,0.004127
1975-12-31,0.004983
1976-01-30,0.004402
1976-02-27,0.003452
1976-03-31,0.004344
1976-04-30,0.004440
1976-05-28,0.004124
1976-06-30,0.004446
1976-07-30,0.004390
1976-08-31,0.004745
1976-09-30,0.003924
1976-10-29,0.004092
1976-11-30,0.004440
1976-12-31,0.003579
1977-01-31,0.003594
1977-02-28,0.003499
1977-03-31,0.003769
1977-04-29,0.004114
1977-05-31,0.003855
1977-06-30,0.003716
1977-07-29,0.003873
1977-08-31,0.004993
1977-09-30,0.004330
1977-10-31,0.004943
1977-11-30,0.004959
1977-12-30,0.004700
1978-01-31,0.005374
1978-02-28,0.004941
1978-03-31,0.005017
1978-04-28,0.005712
1978-05-31,0.005317
1978-06-30,0.005369
1978-07-31,0.005591
1978-08-31,0.005550
1978-09-29,0.005964
1978-10-31,0.007498
1978-11-30,0.007041
1978-12-29,0.007372
1979-01-31,0.007882
1979-02-28,0.007324
1979-03-30,0.008928
1979-04-30,0.008489
1979-05-31,0.008161
1979-06-29,0.007858
1979-07-31,0.008410
1979-08-31,0.007506
1979-09-28,0.007732
1979-10-31,0.009621
1979-11-30,0.009878
1979-12-31,0.010209
1980-01-31,0.007968
1980-02-29,0.010654
1980-03-31,0.012009
1980-04-30,0.012865
1980-05-30,0.007883
1980-06-30,0.006312
1980-07-31,0.005281
1980-08-29,0.005973
1980-09-30,0.008698
1980-10-31,0.008912
1980-11-28,0.008895
1980-12-31,0.014149
1981-01-30,0.009957
1981-02-27,0.010685
1981-03-31,0.013157
1981-04-30,0.010756
1981-05-29,0.010646
1981-06-30,0.015158
1981-07-31,0.011915
1981-08-31,0.012804
1981-09-30,0.012794
1981-10-30,0.011685
1981-11-30,0.011030
1981-12-31,0.008738
1982-01-29,0.007306
1982-02-26,0.009176
1982-03-31,0.011077
1982-04-30,0.011290
1982-05-28,0.009592
1982-06-30,0.010710
1982-07-30,0.010210
1982-08-31,0.008342
1982-09-30,0.005118
1982-10-29,0.005475
1982-11-30,0.007201
1982-12-31,0.006289
1983-01-31,0.006864
1983-02-28,0.006186
1983-03-31,0.006326
1983-04-29,0.006918
1983-05-31,0.007584
1983-06-30,0.006661
1983-07-29,0.006917
1983-08-31,0.008342
1983-09-30,0.007607
1983-10-31,0.007433
1983-11-30,0.007199
1983-12-30,0.007039
1984-01-31,0.008083
1984-02-29,0.007328
1984-03-30,0.007280
1984-04-30,0.008130
1984-05-31,0.007898
1984-06-29,0.007534
1984-07-31,0.008755
1984-08-31,0.007963
1984-09-28,0.008293
